"日付け","終値","始値","高値","安値","出来高","前日比%"
"2020年02月27日","8,817.5","8,780.0","8,969.0","8,523.5","-","0.43%"
"2020年02月26日","8,780.0","9,316.5","9,368.0","8,580.5","-","-5.76%"
"2020年02月25日","9,317.0","9,660.0","9,696.0","9,239.0","-","-3.56%"
"2020年02月24日","9,660.5","9,966.0","10,036.0","9,480.5","-","-3.07%"
"2020年02月23日","9,966.0","9,675.0","10,037.0","9,674.5","-","3.00%"
"2020年02月22日","9,675.5","9,693.5","9,718.5","9,563.5","-","-0.19%"
"2020年02月21日","9,694.0","9,608.0","9,786.0","9,506.5","-","0.90%"
"2020年02月20日","9,607.5","9,596.5","9,688.0","9,380.0","-","0.11%"
"2020年02月19日","9,596.5","10,200.5","10,325.0","9,270.5","-","-5.88%"
"2020年02月18日","10,195.5","9,715.0","10,299.5","9,621.5","-","4.95%"
"2020年02月17日","9,714.5","9,934.0","9,970.0","9,485.0","-","-2.21%"
"2020年02月16日","9,934.5","9,907.0","10,049.0","9,642.0","-","0.28%"
"2020年02月15日","9,906.5","10,369.5","10,402.5","9,738.0","-","-4.46%"
"2020年02月14日","10,369.0","10,241.5","10,392.5","10,119.0","-","1.25%"
"2020年02月13日","10,241.0","10,363.0","10,549.5","10,075.0","-","-1.18%"
"2020年02月12日","10,363.5","10,286.5","10,500.0","10,257.5","-","0.75%"
"2020年02月11日","10,286.0","9,862.0","10,400.0","9,725.0","-","4.29%"
"2020年02月10日","9,862.5","10,172.5","10,199.0","9,718.5","-","-3.05%"
"2020年02月09日","10,172.5","9,908.0","10,185.5","9,899.0","-","2.67%"
"2020年02月08日","9,908.0","9,815.0","9,957.5","9,665.5","-","0.95%"
"2020年02月07日","9,815.0","9,764.0","9,890.0","9,714.5","-","0.53%"
"2020年02月06日","9,763.0","9,631.5","9,869.0","9,534.5","-","1.38%"
"2020年02月05日","9,630.0","9,166.5","9,779.0","9,157.0","-","5.06%"
"2020年02月04日","9,166.0","9,282.0","9,348.0","9,080.0","-","-1.25%"
"2020年02月03日","9,282.0","9,324.5","9,614.5","9,220.0","-","-0.46%"
"2020年02月02日","9,325.0","9,382.0","9,483.5","9,113.5","-","-0.61%"
"2020年02月01日","9,382.5","9,343.5","9,464.0","9,287.5","-","0.46%"
"2020年01月31日","9,339.5","9,510.0","9,528.0","9,205.0","-","-1.79%"
"2020年01月30日","9,510.0","9,294.5","9,579.0","9,054.0","-","2.32%"
"2020年01月29日","9,294.5","9,400.0","9,440.0","9,235.0","-","-1.20%"
"2020年01月28日","9,407.0","8,900.0","9,433.5","8,888.0","-","5.70%"
"2020年01月27日","8,899.5","8,599.5","8,994.5","8,566.5","-","3.51%"
"2020年01月26日","8,597.5","8,325.0","8,599.5","8,286.0","-","3.26%"
"2020年01月25日","8,326.0","8,425.0","8,427.5","8,251.0","-","-1.18%"
"2020年01月24日","8,425.5","8,392.5","8,514.5","8,225.0","-","0.40%"
"2020年01月23日","8,392.0","8,664.5","8,669.5","8,283.5","-","-3.15%"
"2020年01月22日","8,665.0","8,728.0","8,796.5","8,555.0","-","-0.72%"
"2020年01月21日","8,727.5","8,633.0","8,772.5","8,455.0","-","1.10%"
