2019年01月15日,3575,3663.5,3684,3535,-,-2.40%
2019年01月16日,3607.5,3575,3664,3569,-,0.91%
2019年01月17日,3637.5,3607.5,3660,3540,-,0.83%
2019年01月18日,3606,3637,3639.5,3571.5,-,-0.87%
2019年01月19日,3681,3609.5,3784,3605,-,2.08%
2019年01月20日,3535,3681.5,3700,3450,-,-3.97%
2019年01月21日,3529.5,3535,3575,3475,-,-0.16%
2019年01月22日,3578,3529,3608.5,3405,-,1.37%
2019年01月23日,3551,3576.5,3617,3522,-,-0.75%
2019年01月24日,3568,3550.5,3589,3526.5,-,0.48%
2019年01月25日,3560.5,3567.5,3577,3501.5,-,-0.21%
2019年01月26日,3554.5,3560,3672,3531,-,-0.17%
2019年01月27日,3528,3555,3558.5,3464,-,-0.75%
2019年01月28日,3428,3527.5,3530,3370,-,-2.83%
2019年01月29日,3391,3428.5,3435.5,3343,-,-1.08%
2019年01月30日,3434,3391.5,3460,3372.5,-,1.27%
2019年01月31日,3413.5,3434.5,3471.5,3392.5,-,-0.60%
2019年02月01日,3435.5,3413.5,3460,3375.5,-,0.64%
2019年02月02日,3464.5,3436,3484.5,3414,-,0.84%
2019年02月03日,3413.5,3464,3470.5,3382.5,-,-1.47%
2019年02月04日,3408.5,3414,3435,3394,-,-0.15%
2019年02月05日,3428.5,3405.5,3429.5,3396,-,0.59%
2019年02月06日,3365.5,3428.5,3445.5,3330,-,-1.84%
2019年02月07日,3357,3365.5,3378.5,3350.5,-,-0.25%
2019年02月08日,3625.5,3357.5,3728,3341,-,8.00%
2019年02月09日,3626,3625.5,3642.5,3596,-,0.01%
2019年02月10日,3648,3626.5,3658.5,3575,-,0.61%
2019年02月11日,3591,3648,3652.5,3575.5,-,-1.56%
2019年02月12日,3588,3590.5,3618,3550,-,-0.08%
2019年02月13日,3577,3587.5,3632,3562.5,-,-0.31%
2019年02月14日,3560,3576.5,3590,3533,-,-0.48%
2019年02月15日,3565,3560.5,3614.5,3536.5,-,0.14%
2019年02月16日,3580,3564.5,3609.5,3564,-,0.42%
2019年02月17日,3623.5,3579.5,3680,3553,-,1.22%
2019年02月18日,3867.5,3623,3918,3615,-,6.73%
2019年02月19日,3888,3867,3972,3840.5,-,0.53%
2019年02月20日,3939,3888,3958,3868.5,-,1.31%
2019年02月21日,3897.5,3938.5,3995,3863,-,-1.05%
2019年02月22日,3938.5,3897,3957,3886.5,-,1.05%
2019年02月23日,4111.5,3938,4157.5,3907,-,4.39%
2019年02月24日,3733.5,4111,4189.5,3702,-,-9.19%
2019年02月25日,3818,3733.5,3854.5,3730,-,2.26%
2019年02月26日,3796.5,3817.5,3826,3750,-,-0.56%
2019年02月27日,3798.5,3797,3821,3640,-,0.05%
2019年02月28日,3788,3798,3894.5,3741,-,-0.28%
2019年03月01日,3802.5,3788.5,3839,3785,-,0.38%
2019年03月02日,3808,3802,3819,3754.5,-,0.14%
2019年03月03日,3785.5,3808.5,3816.5,3757,-,-0.59%
2019年03月04日,3698.5,3785,3804.5,3670,-,-2.30%
2019年03月05日,3846.5,3699,3880,3691,-,4.00%
2019年03月06日,3849,3846,3900,3810.5,-,0.06%
2019年03月07日,3854,3848.5,3889,3828,-,0.13%
2019年03月08日,3839.5,3854.5,3913.5,3742.5,-,-0.38%
2019年03月09日,3916,3840,3943,3831.5,-,1.99%
2019年03月10日,3897.5,3915.5,3915.5,3860,-,-0.47%
2019年03月11日,3845,3898,3912.5,3807,-,-1.35%
2019年03月12日,3857.5,3845.5,3874,3794,-,0.33%
2019年03月13日,3849.5,3857,3872.5,3825,-,-0.21%
2019年03月14日,3854.5,3848.5,3905,3750,-,0.13%
2019年03月15日,3897,3855,3903.5,3840.5,-,1.10%
2019年03月16日,3986,3897.5,4038,3896,-,2.28%
2019年03月17日,3962,3987,3987.5,3926,-,-0.60%
2019年03月18日,3969,3961.5,4014.5,3928,-,0.18%
2019年03月19日,3997,3968.5,4012,3945,-,0.71%
2019年03月20日,4029.5,3996.5,4048,3955,-,0.81%
2019年03月21日,3969,4030,4067,3915,-,-1.50%
2019年03月22日,3981,3969.5,3999,3958,-,0.30%
2019年03月23日,3979.5,3979,3999,3952,-,-0.04%
2019年03月24日,3966.5,3977.5,3977.5,3937,-,-0.33%
